Registeration Number,Project Name,Type of Project,District
PR/GJ/AHMEDABAD/AHMADABAD CITY/Others/MAA00001/120717,Saujanya Apartments,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00002/210817,ONE42,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00003/210817,Sumel-8,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00004/210817,Marigold,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00005/230817,Santorini Square,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00006/230817,ONE49,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00007/230817,78@Gokuldham,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00008/230817,Maple Trade Centre,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00009/230817,Eminence - 24,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00010/230817,TITANIUM HEIGHTS,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00011/240817,Vertis,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00012/240817,MAPLE TREE,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00013/240817,RIVIERA ONE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00014/240817,ORCHID PRIDE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00015/280817,Casa Vyoma,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00016/280817,THE BUNGALOWS,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00017/280817,SIVANTA APARTMENTS,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00018/280817,SAMAYAKA APARTMENTS,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00019/280817,Shaunak Apartments ,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00020/280817,ORCHID DIVINE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00021/280817,BHAGIRATH SERENITY - PHASE - 1,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00022/290817,CASA VYOMA ,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/KALOL/AUDA/MAA00023/290817,SUPER CITY PHASE 1,Mixed Development,Gandhinagar
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00024/290817,SUN SOUTHPARK,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00025/290817,SUN AVENUE ONE,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00026/290817,SUN ASPIRE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00027/290817,SAKAR-IX,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00028/290817,SUN DIVINE 5,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00029/310817,SHEETAL AQUA,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00030/310817,ALLIED RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00031/310817,YASH PINNACLE,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00032/310817,SAMPAD ALLURE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00033/310817,SUN EVOQ,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00034/310817,Sarovar Enclave,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00035/310817,SHIVALAY HEIGHTS,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00036/310817,ORCHIED PARADISE -G H,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00037/310817,SANKALP ICONIC TOWER,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00038/310817,MARUTI HEIGHTS,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00039/310817,Sun Skypark (residential project) & Sun central park (commercial project),Mixed Development,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00040/010917,THE BLUEBELL,Residential/Group Housing,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00041/010917,ATLANTIS SQUARE,Commercial,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00042/010917,INTERNATIONAL FASHION MARKET,Commercial,Surat
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00043/010917,Aashray Arise,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00044/010917,KAVERI SANGAM,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00045/010917,THE FIRST,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00046/010917,KALASH 5,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00047/010917,Merlin Pentagon,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00048/010917,ZAINAB AVENUE,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00049/010917,NORTH VIEW,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00050/010917,ASHWAMEGH ELYSIUM,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00051/010917,ganesh icon,Mixed Development,Ahmedabad
PR/GJ/KHEDA/MEHMEDABAD/AUDA/RAA00052/010917,SATYAM BUNGLOWS,Residential/Group Housing,Kheda
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00053/010917,DIVYA HOMES,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA00054/010917,SAVYA SKYZ,Mixed Development,Gandhinagar
PR/GJ/VADODARA/VADODARA/Others/MAA00055/010917,SARVA SQUARE,Mixed Development,Vadodara
PR/GJ/VADODARA/VADODARA/Others/RAA00056/010917,SARVA RESIDENCY-1,Residential/Group Housing,Vadodara
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00057/010917,Carmel G and I ,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00058/020917,Takshashila Air,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA00059/020917,SHREE RANG PEARL,Mixed Development,Gandhinagar
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00060/040917,Vishwanath Sarathya,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00061/040917,"ICB- FLORA ""O"" BLOCK",Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00062/040917,ABHIJYOT GREEN,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00063/040917,VERNIS VILLA,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00064/040917,FLORIS VILLA,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00065/040917,ARCUS VILLA,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00066/040917,"SURYA EMERALD -  BLOCK A, B, C ",Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00067/040917,SEVENTY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00068/040917,SURYA EMERALD - BLOCK D,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00069/040917,RADHE GOVIND GALAXY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00070/040917,RAGHUNANDAN HEIGHTS,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00071/040917,AAKASH RESIDENCY PHASE-1,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00072/040917,AAKASH RESIDENCY PHASE-2,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00073/040917,AMARA,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00074/040917,SUN PRIMA,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00075/040917,RUSHABH ELEGANCE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00076/050917,ORCHID HEIGHTS,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00077/050917,Eminence - 14,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00078/050917,SARITA RESIDENCY1,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00079/050917,BHAGIRATH HABITAT,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917,ORCHID HEAVEN,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00081/050917,31FIVE,Commercial,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA00082/050917,Shri Shaligram Villa,Residential/Group Housing,Gandhinagar
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00083/060917,DEVSIDDHI FABULA,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00084/060917,SWANIK ARCADE,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00085/060917,Sumel-10,Commercial,Ahmedabad
PR/GJ/GANDHINAGAR/KALOL/AUDA/PAA00086/060917,129 Weekend Villas,Plotted Development,Gandhinagar
PR/GJ/SURAT/SURAT CITY/SUDA/MAA00087/070917,Rajhans Stadium Plaza & residency,Mixed Development,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00088/070917,RaJhans Business Hub,Commercial,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00089/070917,Raghuvir Trade Center,Commercial,Surat
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00090/070917,SUN CENTRUM,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00091/070917,The Festival Residency 2,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00092/070917,SHYAM VIHAR -II,Residential/Group Housing,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/RAA00093/070917,33LE,Residential/Group Housing,Vadodara
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00094/070917,SHREE RAM HERITAGE ,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00095/070917,W1,Commercial,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/CAA00096/070917,PEHEL,Commercial,Gandhinagar
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00097/070917,KISHOR PARK,Mixed Development,Ahmedabad
PR/GJ/SURAT/OLPAD/Others/RAA00098/070917,BARBELLA PHASE-1,Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00099/070917,YASH ARIAN,Mixed Development,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00100/070917,Raghuvir Scarlett,Commercial,Surat
PR/GJ/SURAT/CHORASI/SUDA/CAA00101/070917, Raghuvir Platinum,Commercial,Surat
PR/GJ/SURAT/OLPAD/Others/RAA00102/080917,CASA BELLA ,Residential/Group Housing,Surat
PR/GJ/VADODARA/VADODARA/Others/RAA00103/080917,MADHUVAN ELEGANCE,Residential/Group Housing,Vadodara
PR/GJ/SURAT/SURAT CITY/Others/CAA00104/080917,PIRAMYD ICON,Commercial,Surat
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00105/080917,SUN SIMPOLO,Mixed Development,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00106/080917,SANGINI TERRAZA,Residential/Group Housing,Surat
PR/GJ/SURAT/OLPAD/SUDA/MAA00107/080917,OPERA CRYTSAL,Mixed Development,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00108/080917,SANGINI MAGNUS,Commercial,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00109/080917,SANGINI ARISE,Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00110/080917,WestFace,Commercial,Ahmedabad
PR/GJ/SURAT/KAMREJ/SUDA/MAA00111/080917,OPERA PRINCE,Mixed Development,Surat
PR/GJ/SURAT/CHORASI/SUDA/CAA00112/080917,Raghuvir Celeum Center,Commercial,Surat
PR/GJ/SURAT/CHORASI/SUDA/CAA00113/080917,SANGINI TEXTILE HUB B,Commercial,Surat
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00114/080917,Eden I,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00115/080917,SHALIN HEIGHTS 5,Mixed Development,Ahmedabad
PR/GJ/SURAT/KAMREJ/SUDA/MAA00116/080917,OPERA PALM,Mixed Development,Surat
PR/GJ/VADODARA/VADODARA/Others/RAA00117/110917,shivam enclave duplex,Residential/Group Housing,Vadodara
PR/GJ/SURAT/CHORASI/SUDA/CAA00118/110917,ELITA SQUARE,Commercial,Surat
PR/GJ/SURAT/KAMREJ/SUDA/MAA00119/110917,OPERA ROYAL,Mixed Development,Surat
PR/GJ/VADODARA/VAGHODIA/Others/RAA00120/110917,"SHREE AKSHAR RESIDENCY (Type-A1,B,C,D,sector-A,B)",Residential/Group Housing,Vadodara
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00121/110917,GANESH SKYLINE 2,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00122/110917,TULSI RESIDENCY,Mixed Development,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00123/110917,SHUBH VATIKA(PHASE-II),Residential/Group Housing,Surat
PR/GJ/SURAT/CHORASI/SUDA/MAA00124/110917,ANMOL HEIGHTS,Mixed Development,Surat
PR/GJ/SURAT/CHORASI/SUDA/RAA00125/110917,Raghuvir Shell,Residential/Group Housing,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00126/110917,SHIVEN SHOPPERS,Commercial,Surat
PR/GJ/VADODARA/VADODARA/Others/RAA00127/110917,Taksh Divine,Residential/Group Housing,Vadodara
PR/GJ/RAJKOT/RAJKOT/Others/RAA00128/110917,AURUM ONE,Residential/Group Housing,Rajkot
PR/GJ/VADODARA/VADODARA/Others/RAA00129/110917,Taksh Galaxy,Residential/Group Housing,Vadodara
PR/GJ/VADODARA/VADODARA/Others/RAA00130/120917,SHIVAM DUPLEX,Residential/Group Housing,Vadodara
PR/GJ/SURAT/CHORASI/SUDA/CAA00131/120917,SHIVEN SQUARE,Commercial,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00132/120917,CAPITAL DREAMZ,Residential/Group Housing,Surat
PR/GJ/VADODARA/VADODARA/Others/RAA00133/120917,taksh galaxy,Residential/Group Housing,Vadodara
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00134/120917,GANESH PARISAR,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00135/120917,MAHER HOMES - 2,Residential/Group Housing,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/PAA00136/120917,CLASSIC COUNTY,Plotted Development,Vadodara
PR/GJ/VADODARA/VADODARA/Others/RAA00137/120917,GOKUL DUPLEX,Residential/Group Housing,Vadodara
PR/GJ/SURAT/KAMREJ/SUDA/MAA00138/130917,OPERA PALACE,Mixed Development,Surat
PR/GJ/RAJKOT/RAJKOT/Others/RAA00139/130917,KASTURI CASA,Residential/Group Housing,Rajkot
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00140/130917,GANESH VATIKA,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00141/130917,ISCON EMPORIO,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00142/130917,KB ROYALPHOENIX,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00143/140917,Utsav Vatva ,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00144/140917,Gala Eternia,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00145/140917,Gala Empire ,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00146/140917,SERENITY SPACE,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00147/140917,SAMVAAD SAMANVAY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00148/140917,Gala Marvella,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00149/140917,SURYANSH SOLITAIRE,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00150/140917,Sarjan,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00151/150917,SATYESH RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/CHORASI/SUDA/MAA00152/150917,Orchid Blossom,Mixed Development,Surat
PR/GJ/VADODARA/VADODARA/Others/RAA00153/150917,SHRIKUNJ RESIDENCY,Residential/Group Housing,Vadodara
PR/GJ/KUTCH/ANJAR/Others/PAA00154/150917,Yogeshwar Prime,Plotted Development,Kutch
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00155/150917,ISHAN LUXURIA,Residential/Group Housing,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/RAA00156/150917,Dove Deck 2,Residential/Group Housing,Vadodara
PR/GJ/TAPI/VYARA/Others/MAA00157/150917,Royal Luxuria,Mixed Development,Tapi
PR/GJ/RAJKOT/RAJKOT/Others/MAA00158/150917,REAL PRIME,Mixed Development,Rajkot
PR/GJ/VADODARA/VADODARA/Others/RAA00159/150917,TAKSH VILLA,Residential/Group Housing,Vadodara
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00160/160917,SHRUNGAL HOMES,Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00161/160917,Saamarth Heaven III,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00162/160917,Raghuvir Silverstone,Residential/Group Housing,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00163/160917,The Legend,Residential/Group Housing,Surat
PR/GJ/VADODARA/VADODARA/Others/MAA00164/160917,THE EARTH INFINITY,Mixed Development,Vadodara
PR/GJ/VADODARA/VADODARA/Others/MAA00165/160917,UPVAN HERITAGE,Mixed Development,Vadodara
PR/GJ/VADODARA/VADODARA/Others/MAA00166/160917,INFINIUM,Mixed Development,Vadodara
PR/GJ/VADODARA/VADODARA/Others/RAA00167/160917,EARTH ALLYSSUM,Residential/Group Housing,Vadodara
PR/GJ/VADODARA/VAGHODIA/Others/RAA00168/160917,BLUE'S SPRINGFIELD,Residential/Group Housing,Vadodara
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00169/180917,WESTPARK,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00170/180917,HEAVEN HEIGHTS,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00171/180917,Gala Glory ,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00172/180917,Elite 18 Square,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00173/180917,RAJYASH RISE,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00174/180917,VAIKUNTH DARSHAN,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00175/180917,SARTHAK ELEGANCE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00176/180917,DEV VIHAAN,Residential/Group Housing,Ahmedabad
