Registeration Number,Project Name,Type of Project,District
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00702/141117,Kalpvruksh regency,Mixed Development,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/RAA00703/141117,Casa Lakeside Phase 1,Residential/Group Housing,Vadodara
PR/GJ/VADODARA/VADODARA/Others/RAA00704/141117,Casa Lakeside Phase 2,Residential/Group Housing,Vadodara
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00705/141117,Bansari Apartment,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00706/141117,Blu Eminence,Commercial,Surat
PR/GJ/SURAT/OLPAD/SUDA/MAA00707/151117,SHARANAM,Mixed Development,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00708/151117,Times Square Arcade,Commercial,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00709/151117,EDEN SQUARE,Commercial,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00710/151117,VIIHAAN RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/KALOL/AUDA/MAA00711/151117,Navpad Green,Mixed Development,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00712/151117,AVALON PARK - 2,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/KAMREJ/Others/PAA00713/151117,Shiv Bhakti Residency -B,Plotted Development,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00714/151117,INFINITY TOWER,Commercial,Surat
PR/GJ/BHAVNAGAR/BHAVNAGAR/Others/RAA00715/151117,OLIVE,Residential/Group Housing,Bhavnagar
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00716/151117,ROYAL LAKE VIEW ,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00717/151117,Adarsh Crystal Industrial Park,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00718/151117,Abhilasha Square,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00719/151117,Saatatya,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00720/151117,RAJVI STATUS,Mixed Development,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/MAA00721/151117,AGORA CITY CENTRE,Mixed Development,Vadodara
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00722/151117,Sun Heights,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00723/151117,SKD'S SURYA KUTIR,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00724/151117,Indraprasth Homes,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00725/151117,Shivalik Paradise,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00726/151117,STELLAR,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00727/151117,SAMPRATI ELEGANCE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00728/161117,SHILP EPITOME,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00729/161117,VAIBHAV PLATINA,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00730/161117,Arvind Megaestate,Commercial,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA00731/161117,SETU SQUARE,Commercial,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00732/161117,SHOHAM SANIDHYA,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00733/161117,Swapnil Height and Arcade,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00734/161117,GLOBAL BUSINESS PARK,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00735/161117,SILVER RADIANCE,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00736/161117,Parimal Green,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00737/161117,Solitaire Sky,Commercial,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00738/161117,FOINAA,Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00739/171117,BINORI PRISTINE,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00740/171117,Bagh-e-Fatima Apartment,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA00741/171117,Mansarovar Residency,Mixed Development,Gandhinagar
PR/GJ/JAMNAGAR/JAMNAGAR/Others/RAA00742/171117,AARYA BHAGWATI,Residential/Group Housing,Jamnagar
PR/GJ/VALSAD/UMBERGAON/Others/MAA00743/171117,FORTUNE PLUS,Mixed Development,Valsad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00744/171117,SAHJANAND BAUG,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00745/171117,DWARKESH RAW HOUSE DUPLEX,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00746/171117,DHANANJAY ENCLAVE,Residential/Group Housing,Ahmedabad
PR/GJ/BHARUCH/BHARUCH/Others/CAA00747/171117,7X CORRIDOR,Commercial,Bharuch
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00748/171117,Bileshwar Residency,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00749/171117,Dhairya Paradise,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00750/171117,SATVA SHREEJI,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00751/171117,SHAYONA AAGMAN PHASE -  I BLOCK D TO O,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00752/171117,RAJVI RESIDENCY,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00753/171117,Shoolin Arcade,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00754/181117,Sankalp Centre,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00755/181117,Shubh Meritta,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00756/181117,KALATIRTH TOWERS,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00757/181117,Shree Sharanam,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00758/181117,SANGANI UPVAN,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00759/181117,Elite smart Homes,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00760/181117,DUTT RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00761/181117,Shrinand City 4,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00762/181117,Shyam Shree,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00763/181117,Shalin Square,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00764/181117,SHIVAM RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00765/181117,VRUNDAVAN,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/PAA00766/181117,The Park,Plotted Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00767/201117,VERANTES 22,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00768/201117,SHASHWAT,Residential/Group Housing,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/MAA00769/201117,SHREE BALAJI SKYRISE,Mixed Development,Vadodara
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00770/201117,AADITYA HEIGHTS,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00771/201117,WESTERN HEIGHT,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00772/201117,Mahadev Heights,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00773/201117,SHREEDHAR NEST,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00774/201117,SHREE SAKAT VALLEY,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/CAA00775/201117,VEDANT AEON,Commercial,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00776/201117,ROYAL VILLA,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00777/201117,SANKALP INDUSTRIAL PARK,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00778/201117,KRISHNA ESTATE,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00779/201117,EMPIRE BUSINESS HUB,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00780/201117,SHIV UGATI CITY,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA00781/201117,SHREEJI VILLA,Residential/Group Housing,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00782/211117,EMPIRE DOCTOR HUB,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00783/211117,ABHAY RATNA SHINE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/CAA00784/211117,AAROHI VERVE,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00785/211117,SHREENATH IND PARK,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/KALOL/AUDA/MAA00786/211117,AJAY AVENUE,Mixed Development,Gandhinagar
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA00787/211117,WTC GIFT Tower C,Commercial,Gandhinagar
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA00788/211117,"WTC GIFT  Tower A, B & D",Commercial,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00789/211117,KALA KUNJ,Residential/Group Housing,Ahmedabad
PR/GJ/BHARUCH/BHARUCH/Others/MAA00790/211117,SLD ESSENZA,Mixed Development,Bharuch
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00791/211117,SATVA ICON,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00792/211117,Scarlet Gateway,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00793/211117,SHYAM RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/BHARUCH/BHARUCH/Others/RAA00794/211117,NARAYAN ARENA,Residential/Group Housing,Bharuch
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00795/211117,Arjun Sky Life,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00796/221117,SWAMINARAYAN BUSINESS PARK,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00797/221117,Abhishek,Residential/Group Housing,Ahmedabad
PR/GJ/VALSAD/UMBERGAON/Others/MAA00798/221117,ROYAL LAKE CITY-B (G+10 Floors) & ROYAL LAKE CITY-A (G+1 Floors),Mixed Development,Valsad
PR/GJ/SURAT/CHORASI/SUDA/PAA00799/221117,GREEN FEB TEX HOUSE,Plotted Development,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00800/221117,PARSHWA RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00801/221117,Alpha Business Park,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00802/221117,ROOP VATIKA,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00803/221117,Madhu govind heights,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00804/221117,SIGNATURE SQUARE,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA00805/221117,Satyamev Surya,Mixed Development,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00806/221117,BVR-EK,Commercial,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00807/221117,INFINITY BUSINESS HUB,Commercial,Surat
PR/GJ/SURAT/KAMREJ/SUDA/PAA00808/221117,MAHAVIR RESIDENCY,Plotted Development,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00809/221117,Glorina Valley,Residential/Group Housing,Surat
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/CAA00810/241117,SHYAMVED INDUSTRIAL ESTATE (BLOCK-C),Commercial,Gandhinagar
PR/GJ/SURAT/CHORASI/SUDA/RAA00811/241117,SHANTA GODAVARI LUXURY VILLAS,Residential/Group Housing,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00812/241117,THE ATMOSPHERE,Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00813/241117,SPARSH RESIDENCY,Mixed Development,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00814/241117,blu sparsh,Residential/Group Housing,Surat
PR/GJ/SURAT/CHORASI/SUDA/RAA00815/241117,GREEN CITY GOLD,Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00816/241117,SERENE,Mixed Development,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00817/241117,SKY WALK,Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00818/241117,SPECTRUM,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA00819/241117,SWARA HOMES,Residential/Group Housing,Gandhinagar
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00820/241117,Anaya Business Center,Commercial,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00821/241117,GLOBALE TEXTILE MARKET,Commercial,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00822/241117,AKIRA 44,Residential/Group Housing,Ahmedabad
PR/GJ/RAJKOT/RAJKOT/Others/CAA00823/271117,TIME SQUARE,Commercial,Rajkot
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00824/271117,"SUNFLOWER ENCLAVE BLOCK ""C""",Residential/Group Housing,Ahmedabad
PR/GJ/RAJKOT/RAJKOT/Others/RAA00825/271117,SOPAN HILL,Residential/Group Housing,Rajkot
PR/GJ/RAJKOT/RAJKOT/Others/RAA00826/271117,VASUPUJYA,Residential/Group Housing,Rajkot
PR/GJ/RAJKOT/RAJKOT/Others/RAA00827/271117,SOPAN HEIGHTS,Residential/Group Housing,Rajkot
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00828/271117,RUSHABH ELEGANCE BLOCK B,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00829/271117,Avaneesh Heights,Mixed Development,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/RAA00830/271117,VENUS PAHEL TOWER A1-11 (A Block),Residential/Group Housing,Vadodara
PR/GJ/SURAT/SURAT CITY/SUDA/MAA00831/271117,ICON HEIGHTS,Mixed Development,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/MAA00832/271117,TULSI RESIDENCY,Mixed Development,Surat
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA00833/271117,AFV Residency,Residential/Group Housing,Gandhinagar
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA00834/271117,WHITE HOUSE,Commercial,Gandhinagar
PR/GJ/VADODARA/VADODARA/Others/RAA00835/271117,PETAL ASTER,Residential/Group Housing,Vadodara
PR/GJ/VADODARA/VADODARA/Others/CAA00836/271117,THE TRILLIUM,Commercial,Vadodara
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA00837/281117,ADITYA 18,Residential/Group Housing,Gandhinagar
PR/GJ/AHMEDABAD/SANAND/AUDA/CAA00838/281117,PLATINUM ARCADE,Commercial,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00839/281117,Aagam Square,Commercial,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00840/281117,SONA PALACE RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00841/281117,THE GRAND PLAZA,Commercial,Surat
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA00842/281117,AASTHA PRIME,Residential/Group Housing,Gandhinagar
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA00843/281117,OLIVE RESIDENCY,Residential/Group Housing,Gandhinagar
PR/GJ/RAJKOT/RAJKOT/Others/RAA00844/281117,DECORA WEST HILL,Residential/Group Housing,Rajkot
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00845/281117,Devarsh Sopan,Commercial,Ahmedabad
PR/GJ/VALSAD/PARDI/Others/MAA00846/281117,aastha avenue,Mixed Development,Valsad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00847/281117,Satya Two,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00848/281117,SIDDHIVINAYAK INDUSTRIAL ESTATE,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00849/281117,UNIZA,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00850/291117,"GAYATRI EXOTICA BLOCK E, F & G",Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00851/291117,kemps corner,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA00852/291117,Buiness Park,Commercial,Gandhinagar
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00853/291117,CASA RIVERA,Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00854/291117,SATVA HOMES - 1,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00855/291117,shetrunjay hills,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00856/291117,OM VILLA,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00857/291117,SILVER RADIANCE ONE,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00858/291117,Aditi Emperia,Residential/Group Housing,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/MAA00859/291117,PARAM ORBIT,Mixed Development,Vadodara
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00860/291117,SHREY HOMES,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/CAA00861/291117,SATYAM 64,Commercial,Ahmedabad
PR/GJ/VALSAD/PARDI/Others/PAA00862/291117,Vibrant business park,Plotted Development,Valsad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00863/291117,SPG EMPRESSA,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00864/301117,KARNAVATI NAGAR,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00865/301117,Avadh Elegance,Mixed Development,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/RAA00866/301117,ROSEDALE COUNTY - 1,Residential/Group Housing,Vadodara
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00867/301117,Sukruti Santakaram,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00868/301117,PARSHWA HOMES,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA00869/301117,Siddhraj Z+,Residential/Group Housing,Gandhinagar
PR/GJ/VADODARA/VAGHODIA/Others/RAA00870/301117,PRIME PLAZA,Residential/Group Housing,Vadodara
PR/GJ/RAJKOT/RAJKOT/Others/RAA00871/301117,MERRYGOLD HEIGHTS,Residential/Group Housing,Rajkot
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA00872/301117,ADITYA ELITE,Mixed Development,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00873/301117,Sitaram City,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00874/301117,Cloud 9,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00875/301117,SHETH SERENITA,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00876/301117,Pushkar Hill,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00877/301117,Murlidhar Avenue,Residential/Group Housing,Ahmedabad
